days,sample number,design,predated,date,temperature,weather
0.33,1,1,1,11/03/2024,7.8,2
0.33,2,1,1,11/03/2024,7.8,2
0.33,3,1,1,11/03/2024,7.8,2
0.33,4,1,1,11/03/2024,7.8,2
0.33,5,1,1,11/03/2024,7.8,2
0.33,6,1,1,11/03/2024,7.8,2
0.33,7,1,1,11/03/2024,7.8,2
0.33,8,1,1,11/03/2024,7.8,2
0.33,9,1,1,11/03/2024,7.8,2
0.33,10,1,1,11/03/2024,7.8,2
0.33,11,1,1,11/03/2024,7.8,2
0.33,12,1,1,11/03/2024,7.8,2
0.33,13,1,1,11/03/2024,7.8,2
0.33,14,1,0,11/03/2024,7.8,2
0.33,15,1,0,11/03/2024,7.8,2
0.33,16,1,0,11/03/2024,7.8,2
0.33,17,1,0,11/03/2024,7.8,2
0.33,18,1,0,11/03/2024,7.8,2
0.33,19,1,0,11/03/2024,7.8,2
0.33,20,1,0,11/03/2024,7.8,2
0.33,21,1,0,11/03/2024,7.8,2
0.33,22,1,0,11/03/2024,7.8,2
0.33,23,1,0,11/03/2024,7.8,2
0.33,24,1,0,11/03/2024,7.8,2
0.33,25,1,0,11/03/2024,7.8,2
0.33,26,1,0,11/03/2024,7.8,2
0.33,27,1,0,11/03/2024,7.8,2
0.33,28,1,0,11/03/2024,7.8,2
0.33,29,1,0,11/03/2024,7.8,2
0.33,30,1,0,11/03/2024,7.8,2
0.33,31,1,0,11/03/2024,7.8,2
0.33,32,1,0,11/03/2024,7.8,2
0.33,33,1,0,11/03/2024,7.8,2
0.33,34,1,0,11/03/2024,7.8,2
0.33,35,1,0,11/03/2024,7.8,2
0.33,36,1,0,11/03/2024,7.8,2
0.33,37,1,0,11/03/2024,7.8,2
0.33,38,1,0,11/03/2024,7.8,2
0.33,39,1,0,11/03/2024,7.8,2
0.33,40,1,0,11/03/2024,7.8,2
0.33,41,2,1,11/03/2024,7.8,2
0.33,42,2,1,11/03/2024,7.8,2
0.33,43,2,1,11/03/2024,7.8,2
0.33,44,2,1,11/03/2024,7.8,2
0.33,45,2,1,11/03/2024,7.8,2
0.33,46,2,1,11/03/2024,7.8,2
0.33,47,2,1,11/03/2024,7.8,2
0.33,48,2,1,11/03/2024,7.8,2
0.33,49,2,1,11/03/2024,7.8,2
0.33,50,2,1,11/03/2024,7.8,2
0.33,51,2,0,11/03/2024,7.8,2
0.33,52,2,0,11/03/2024,7.8,2
0.33,53,2,0,11/03/2024,7.8,2
0.33,54,2,0,11/03/2024,7.8,2
0.33,55,2,0,11/03/2024,7.8,2
0.33,56,2,0,11/03/2024,7.8,2
0.33,57,2,0,11/03/2024,7.8,2
0.33,58,2,0,11/03/2024,7.8,2
0.33,59,2,0,11/03/2024,7.8,2
0.33,60,2,0,11/03/2024,7.8,2
0.33,61,2,0,11/03/2024,7.8,2
0.33,62,2,0,11/03/2024,7.8,2
0.33,63,2,0,11/03/2024,7.8,2
0.33,64,2,0,11/03/2024,7.8,2
0.33,65,2,0,11/03/2024,7.8,2
0.33,66,2,0,11/03/2024,7.8,2
0.33,67,2,0,11/03/2024,7.8,2
0.33,68,2,0,11/03/2024,7.8,2
0.33,69,2,0,11/03/2024,7.8,2
0.33,70,2,0,11/03/2024,7.8,2
0.33,71,2,0,11/03/2024,7.8,2
0.33,72,2,0,11/03/2024,7.8,2
0.33,73,2,0,11/03/2024,7.8,2
0.33,74,2,0,11/03/2024,7.8,2
0.33,75,2,0,11/03/2024,7.8,2
0.33,76,2,0,11/03/2024,7.8,2
0.33,77,2,0,11/03/2024,7.8,2
0.33,78,2,0,11/03/2024,7.8,2
0.33,79,2,0,11/03/2024,7.8,2
0.33,80,2,0,11/03/2024,7.8,2
0.33,81,3,1,11/03/2024,7.8,2
0.33,82,3,1,11/03/2024,7.8,2
0.33,83,3,1,11/03/2024,7.8,2
0.33,84,3,1,11/03/2024,7.8,2
0.33,85,3,1,11/03/2024,7.8,2
0.33,86,3,1,11/03/2024,7.8,2
0.33,87,3,1,11/03/2024,7.8,2
0.33,88,3,1,11/03/2024,7.8,2
0.33,89,3,1,11/03/2024,7.8,2
0.33,90,3,1,11/03/2024,7.8,2
0.33,91,3,1,11/03/2024,7.8,2
0.33,92,3,1,11/03/2024,7.8,2
0.33,93,3,1,11/03/2024,7.8,2
0.33,94,3,1,11/03/2024,7.8,2
0.33,95,3,1,11/03/2024,7.8,2
0.33,96,3,1,11/03/2024,7.8,2
0.33,97,3,0,11/03/2024,7.8,2
0.33,98,3,0,11/03/2024,7.8,2
0.33,99,3,0,11/03/2024,7.8,2
0.33,100,3,0,11/03/2024,7.8,2
0.33,101,3,0,11/03/2024,7.8,2
0.33,102,3,0,11/03/2024,7.8,2
0.33,103,3,0,11/03/2024,7.8,2
0.33,104,3,0,11/03/2024,7.8,2
0.33,105,3,0,11/03/2024,7.8,2
0.33,106,3,0,11/03/2024,7.8,2
0.33,107,3,0,11/03/2024,7.8,2
0.33,108,3,0,11/03/2024,7.8,2
0.33,109,3,0,11/03/2024,7.8,2
0.33,110,3,0,11/03/2024,7.8,2
0.33,111,3,0,11/03/2024,7.8,2
0.33,112,3,0,11/03/2024,7.8,2
0.33,113,3,0,11/03/2024,7.8,2
0.33,114,3,0,11/03/2024,7.8,2
0.33,115,3,0,11/03/2024,7.8,2
0.33,116,3,0,11/03/2024,7.8,2
0.33,117,3,0,11/03/2024,7.8,2
0.33,118,3,0,11/03/2024,7.8,2
0.33,119,3,0,11/03/2024,7.8,2
0.66,121,1,1,13/03/2024,13,2
0.66,122,1,1,13/03/2024,13,2
0.66,123,1,1,13/03/2024,13,2
0.66,124,1,1,13/03/2024,13,2
0.66,125,1,1,13/03/2024,13,2
0.66,126,1,1,13/03/2024,13,2
0.66,127,1,1,13/03/2024,13,2
0.66,128,1,1,13/03/2024,13,2
0.66,129,1,1,13/03/2024,13,2
0.66,130,1,1,13/03/2024,13,2
0.66,131,1,1,13/03/2024,13,2
0.66,132,1,1,13/03/2024,13,2
0.66,133,1,1,13/03/2024,13,2
0.66,134,1,1,13/03/2024,13,2
0.66,135,1,1,13/03/2024,13,2
0.66,136,1,1,13/03/2024,13,2
0.66,137,1,0,13/03/2024,13,2
0.66,138,1,0,13/03/2024,13,2
0.66,139,1,0,13/03/2024,13,2
0.66,140,1,0,13/03/2024,13,2
0.66,141,1,0,13/03/2024,13,2
0.66,142,1,0,13/03/2024,13,2
0.66,143,1,0,13/03/2024,13,2
0.66,144,1,0,13/03/2024,13,2
0.66,145,1,0,13/03/2024,13,2
0.66,146,1,0,13/03/2024,13,2
0.66,147,1,0,13/03/2024,13,2
0.66,148,1,0,13/03/2024,13,2
0.66,149,1,0,13/03/2024,13,2
0.66,150,1,0,13/03/2024,13,2
0.66,151,1,0,13/03/2024,13,2
0.66,152,1,0,13/03/2024,13,2
0.66,153,1,0,13/03/2024,13,2
0.66,154,1,0,13/03/2024,13,2
0.66,155,1,0,13/03/2024,13,2
0.66,156,1,0,13/03/2024,13,2
0.66,157,1,0,13/03/2024,13,2
0.66,158,1,0,13/03/2024,13,2
0.66,159,1,0,13/03/2024,13,2
0.66,161,2,1,13/03/2024,13,2
0.66,162,2,1,13/03/2024,13,2
0.66,163,2,1,13/03/2024,13,2
0.66,164,2,1,13/03/2024,13,2
0.66,165,2,1,13/03/2024,13,2
0.66,166,2,1,13/03/2024,13,2
0.66,167,2,1,13/03/2024,13,2
0.66,168,2,1,13/03/2024,13,2
0.66,169,2,1,13/03/2024,13,2
0.66,170,2,1,13/03/2024,13,2
0.66,171,2,1,13/03/2024,13,2
0.66,172,2,1,13/03/2024,13,2
0.66,173,2,1,13/03/2024,13,2
0.66,174,2,1,13/03/2024,13,2
0.66,175,2,0,13/03/2024,13,2
0.66,176,2,0,13/03/2024,13,2
0.66,177,2,0,13/03/2024,13,2
0.66,178,2,0,13/03/2024,13,2
0.66,179,2,0,13/03/2024,13,2
0.66,180,2,0,13/03/2024,13,2
0.66,181,2,0,13/03/2024,13,2
0.66,182,2,0,13/03/2024,13,2
0.66,183,2,0,13/03/2024,13,2
0.66,184,2,0,13/03/2024,13,2
0.66,185,2,0,13/03/2024,13,2
0.66,186,2,0,13/03/2024,13,2
0.66,187,2,0,13/03/2024,13,2
0.66,188,2,0,13/03/2024,13,2
0.66,189,2,0,13/03/2024,13,2
0.66,190,2,0,13/03/2024,13,2
0.66,191,2,0,13/03/2024,13,2
0.66,192,2,0,13/03/2024,13,2
0.66,193,2,0,13/03/2024,13,2
0.66,194,2,0,13/03/2024,13,2
0.66,195,2,0,13/03/2024,13,2
0.66,196,2,0,13/03/2024,13,2
0.66,197,2,0,13/03/2024,13,2
0.66,198,2,0,13/03/2024,13,2
0.66,201,3,1,13/03/2024,13,2
0.66,202,3,1,13/03/2024,13,2
0.66,203,3,1,13/03/2024,13,2
0.66,204,3,1,13/03/2024,13,2
0.66,205,3,1,13/03/2024,13,2
0.66,206,3,1,13/03/2024,13,2
0.66,207,3,1,13/03/2024,13,2
0.66,208,3,1,13/03/2024,13,2
0.66,209,3,1,13/03/2024,13,2
0.66,210,3,1,13/03/2024,13,2
0.66,211,3,1,13/03/2024,13,2
0.66,212,3,1,13/03/2024,13,2
0.66,213,3,1,13/03/2024,13,2
0.66,214,3,1,13/03/2024,13,2
0.66,215,3,1,13/03/2024,13,2
0.66,216,3,1,13/03/2024,13,2
0.66,217,3,1,13/03/2024,13,2
0.66,218,3,1,13/03/2024,13,2
0.66,219,3,1,13/03/2024,13,2
0.66,220,3,1,13/03/2024,13,2
0.66,221,3,0,13/03/2024,13,2
0.66,222,3,0,13/03/2024,13,2
0.66,223,3,0,13/03/2024,13,2
0.66,224,3,0,13/03/2024,13,2
0.66,225,3,0,13/03/2024,13,2
0.66,226,3,0,13/03/2024,13,2
0.66,227,3,0,13/03/2024,13,2
0.66,228,3,0,13/03/2024,13,2
0.66,229,3,0,13/03/2024,13,2
0.66,230,3,0,13/03/2024,13,2
0.66,231,3,0,13/03/2024,13,2
0.66,232,3,0,13/03/2024,13,2
0.66,233,3,0,13/03/2024,13,2
0.66,234,3,0,13/03/2024,13,2
0.66,235,3,0,13/03/2024,13,2
0.66,236,3,0,13/03/2024,13,2
0.66,237,3,0,13/03/2024,13,2
0.66,238,3,0,13/03/2024,13,2
0.66,239,3,0,13/03/2024,13,2
1,241,1,1,15/03/2024,14,1
1,242,1,1,15/03/2024,14,1
1,243,1,1,15/03/2024,14,1
1,244,1,1,15/03/2024,14,1
1,245,1,1,15/03/2024,14,1
1,246,1,1,15/03/2024,14,1
1,247,1,1,15/03/2024,14,1
1,248,1,1,15/03/2024,14,1
1,249,1,1,15/03/2024,14,1
1,250,1,1,15/03/2024,14,1
1,251,1,1,15/03/2024,14,1
1,252,1,1,15/03/2024,14,1
1,253,1,1,15/03/2024,14,1
1,254,1,1,15/03/2024,14,1
1,255,1,1,15/03/2024,14,1
1,256,1,1,15/03/2024,14,1
1,257,1,1,15/03/2024,14,1
1,258,1,1,15/03/2024,14,1
1,259,1,1,15/03/2024,14,1
1,260,1,1,15/03/2024,14,1
1,261,1,1,15/03/2024,14,1
1,262,1,1,15/03/2024,14,1
1,263,1,1,15/03/2024,14,1
1,264,1,0,15/03/2024,14,1
1,265,1,0,15/03/2024,14,1
1,266,1,0,15/03/2024,14,1
1,267,1,0,15/03/2024,14,1
1,268,1,0,15/03/2024,14,1
1,269,1,0,15/03/2024,14,1
1,270,1,0,15/03/2024,14,1
1,271,1,0,15/03/2024,14,1
1,272,1,0,15/03/2024,14,1
1,273,1,0,15/03/2024,14,1
1,274,1,0,15/03/2024,14,1
1,275,1,0,15/03/2024,14,1
1,276,1,0,15/03/2024,14,1
1,277,1,0,15/03/2024,14,1
1,278,1,0,15/03/2024,14,1
1,279,1,0,15/03/2024,14,1
1,281,2,1,15/03/2024,14,1
1,282,2,1,15/03/2024,14,1
1,283,2,1,15/03/2024,14,1
1,284,2,1,15/03/2024,14,1
1,285,2,1,15/03/2024,14,1
1,286,2,1,15/03/2024,14,1
1,287,2,1,15/03/2024,14,1
1,288,2,1,15/03/2024,14,1
1,289,2,1,15/03/2024,14,1
1,290,2,1,15/03/2024,14,1
1,291,2,1,15/03/2024,14,1
1,292,2,1,15/03/2024,14,1
1,293,2,1,15/03/2024,14,1
1,294,2,0,15/03/2024,14,1
1,295,2,0,15/03/2024,14,1
1,296,2,0,15/03/2024,14,1
1,297,2,0,15/03/2024,14,1
1,298,2,0,15/03/2024,14,1
1,299,2,0,15/03/2024,14,1
1,300,2,0,15/03/2024,14,1
1,301,2,0,15/03/2024,14,1
1,302,2,0,15/03/2024,14,1
1,303,2,0,15/03/2024,14,1
1,304,2,0,15/03/2024,14,1
1,305,2,0,15/03/2024,14,1
1,306,2,0,15/03/2024,14,1
1,307,2,0,15/03/2024,14,1
1,308,2,0,15/03/2024,14,1
1,309,2,0,15/03/2024,14,1
1,310,2,0,15/03/2024,14,1
1,311,2,0,15/03/2024,14,1
1,312,2,0,15/03/2024,14,1
1,313,2,0,15/03/2024,14,1
1,314,2,0,15/03/2024,14,1
1,315,2,0,15/03/2024,14,1
1,316,2,0,15/03/2024,14,1
1,317,2,0,15/03/2024,14,1
1,318,2,0,15/03/2024,14,1
1,319,2,0,15/03/2024,14,1
1,320,2,0,15/03/2024,14,1
1,321,3,1,15/03/2024,14,1
1,322,3,1,15/03/2024,14,1
1,323,3,1,15/03/2024,14,1
1,324,3,1,15/03/2024,14,1
1,325,3,1,15/03/2024,14,1
1,326,3,1,15/03/2024,14,1
1,327,3,1,15/03/2024,14,1
1,328,3,1,15/03/2024,14,1
1,329,3,1,15/03/2024,14,1
1,330,3,1,15/03/2024,14,1
1,331,3,1,15/03/2024,14,1
1,332,3,1,15/03/2024,14,1
1,333,3,1,15/03/2024,14,1
1,334,3,1,15/03/2024,14,1
1,335,3,1,15/03/2024,14,1
1,336,3,1,15/03/2024,14,1
1,337,3,1,15/03/2024,14,1
1,338,3,1,15/03/2024,14,1
1,339,3,1,15/03/2024,14,1
1,340,3,0,15/03/2024,14,1
1,341,3,0,15/03/2024,14,1
1,342,3,0,15/03/2024,14,1
1,343,3,0,15/03/2024,14,1
1,344,3,0,15/03/2024,14,1
1,345,3,0,15/03/2024,14,1
1,346,3,0,15/03/2024,14,1
1,347,3,0,15/03/2024,14,1
1,348,3,0,15/03/2024,14,1
1,349,3,0,15/03/2024,14,1
1,350,3,0,15/03/2024,14,1
1,351,3,0,15/03/2024,14,1
1,352,3,0,15/03/2024,14,1
1,353,3,0,15/03/2024,14,1
1,354,3,0,15/03/2024,14,1
1,355,3,0,15/03/2024,14,1
1,356,3,0,15/03/2024,14,1
1,357,3,0,15/03/2024,14,1
1,358,3,0,15/03/2024,14,1
1,359,3,0,15/03/2024,14,1
1.33,361,1,1,17/03/2024,12,1
1.33,362,1,1,17/03/2024,12,1
1.33,363,1,1,17/03/2024,12,1
1.33,364,1,1,17/03/2024,12,1
1.33,365,1,1,17/03/2024,12,1
1.33,366,1,1,17/03/2024,12,1
1.33,367,1,1,17/03/2024,12,1
1.33,368,1,1,17/03/2024,12,1
1.33,369,1,1,17/03/2024,12,1
1.33,370,1,1,17/03/2024,12,1
1.33,371,1,1,17/03/2024,12,1
1.33,372,1,1,17/03/2024,12,1
1.33,373,1,1,17/03/2024,12,1
1.33,374,1,1,17/03/2024,12,1
1.33,375,1,1,17/03/2024,12,1
1.33,376,1,1,17/03/2024,12,1
1.33,377,1,1,17/03/2024,12,1
1.33,378,1,1,17/03/2024,12,1
1.33,379,1,1,17/03/2024,12,1
1.33,380,1,1,17/03/2024,12,1
1.33,381,1,1,17/03/2024,12,1
1.33,382,1,0,17/03/2024,12,1
1.33,383,1,0,17/03/2024,12,1
1.33,384,1,0,17/03/2024,12,1
1.33,385,1,0,17/03/2024,12,1
1.33,386,1,0,17/03/2024,12,1
1.33,387,1,0,17/03/2024,12,1
1.33,388,1,0,17/03/2024,12,1
1.33,389,1,0,17/03/2024,12,1
1.33,390,1,0,17/03/2024,12,1
1.33,391,1,0,17/03/2024,12,1
1.33,392,1,0,17/03/2024,12,1
1.33,393,1,0,17/03/2024,12,1
1.33,394,1,0,17/03/2024,12,1
1.33,395,1,0,17/03/2024,12,1
1.33,396,1,0,17/03/2024,12,1
1.33,397,1,0,17/03/2024,12,1
1.33,398,1,0,17/03/2024,12,1
1.33,401,2,1,17/03/2024,12,1
1.33,402,2,1,17/03/2024,12,1
1.33,403,2,1,17/03/2024,12,1
1.33,404,2,1,17/03/2024,12,1
1.33,405,2,1,17/03/2024,12,1
1.33,406,2,1,17/03/2024,12,1
1.33,407,2,1,17/03/2024,12,1
1.33,408,2,1,17/03/2024,12,1
1.33,409,2,1,17/03/2024,12,1
1.33,410,2,1,17/03/2024,12,1
1.33,411,2,1,17/03/2024,12,1
1.33,412,2,1,17/03/2024,12,1
1.33,413,2,1,17/03/2024,12,1
1.33,414,2,1,17/03/2024,12,1
1.33,415,2,1,17/03/2024,12,1
1.33,416,2,1,17/03/2024,12,1
1.33,417,2,1,17/03/2024,12,1
1.33,418,2,1,17/03/2024,12,1
1.33,419,2,1,17/03/2024,12,1
1.33,420,2,1,17/03/2024,12,1
1.33,421,2,1,17/03/2024,12,1
1.33,422,2,1,17/03/2024,12,1
1.33,423,2,1,17/03/2024,12,1
1.33,424,2,1,17/03/2024,12,1
1.33,425,2,1,17/03/2024,12,1
1.33,426,2,1,17/03/2024,12,1
1.33,427,2,1,17/03/2024,12,1
1.33,428,2,0,17/03/2024,12,1
1.33,429,2,0,17/03/2024,12,1
1.33,430,2,0,17/03/2024,12,1
1.33,431,2,0,17/03/2024,12,1
1.33,432,2,0,17/03/2024,12,1
1.33,433,2,0,17/03/2024,12,1
1.33,434,2,0,17/03/2024,12,1
1.33,435,2,0,17/03/2024,12,1
1.33,436,2,0,17/03/2024,12,1
1.33,437,2,0,17/03/2024,12,1
1.33,438,2,0,17/03/2024,12,1
1.33,439,2,0,17/03/2024,12,1
1.33,440,2,0,17/03/2024,12,1
1.33,441,3,1,17/03/2024,12,1
1.33,442,3,1,17/03/2024,12,1
1.33,443,3,1,17/03/2024,12,1
1.33,444,3,1,17/03/2024,12,1
1.33,445,3,1,17/03/2024,12,1
1.33,446,3,1,17/03/2024,12,1
1.33,447,3,1,17/03/2024,12,1
1.33,448,3,1,17/03/2024,12,1
1.33,449,3,1,17/03/2024,12,1
1.33,450,3,1,17/03/2024,12,1
1.33,451,3,1,17/03/2024,12,1
1.33,452,3,1,17/03/2024,12,1
1.33,453,3,1,17/03/2024,12,1
1.33,454,3,1,17/03/2024,12,1
1.33,455,3,0,17/03/2024,12,1
1.33,456,3,0,17/03/2024,12,1
1.33,457,3,0,17/03/2024,12,1
1.33,458,3,0,17/03/2024,12,1
1.33,459,3,0,17/03/2024,12,1
1.33,460,3,0,17/03/2024,12,1
1.33,461,3,0,17/03/2024,12,1
1.33,462,3,0,17/03/2024,12,1
1.33,463,3,0,17/03/2024,12,1
1.33,464,3,0,17/03/2024,12,1
1.33,465,3,0,17/03/2024,12,1
1.33,466,3,0,17/03/2024,12,1
1.33,467,3,0,17/03/2024,12,1
1.33,468,3,0,17/03/2024,12,1
1.33,469,3,0,17/03/2024,12,1
1.33,470,3,0,17/03/2024,12,1
1.33,471,3,0,17/03/2024,12,1
1.33,472,3,0,17/03/2024,12,1
1.33,473,3,0,17/03/2024,12,1
1.33,474,3,0,17/03/2024,12,1
1.33,475,3,0,17/03/2024,12,1
1.33,476,3,0,17/03/2024,12,1
1.33,477,3,0,17/03/2024,12,1
1.33,478,3,0,17/03/2024,12,1
1.33,479,3,0,17/03/2024,12,1
1.66,481,1,1,18/03/2024,12.3,3
1.66,482,1,1,18/03/2024,12.3,3
1.66,483,1,1,18/03/2024,12.3,3
1.66,484,1,1,18/03/2024,12.3,3
1.66,485,1,1,18/03/2024,12.3,3
1.66,486,1,1,18/03/2024,12.3,3
1.66,487,1,1,18/03/2024,12.3,3
1.66,488,1,1,18/03/2024,12.3,3
1.66,489,1,1,18/03/2024,12.3,3
1.66,490,1,1,18/03/2024,12.3,3
1.66,491,1,1,18/03/2024,12.3,3
1.66,492,1,1,18/03/2024,12.3,3
1.66,493,1,1,18/03/2024,12.3,3
1.66,494,1,0,18/03/2024,12.3,3
1.66,495,1,0,18/03/2024,12.3,3
1.66,496,1,0,18/03/2024,12.3,3
1.66,497,1,0,18/03/2024,12.3,3
1.66,498,1,0,18/03/2024,12.3,3
1.66,499,1,0,18/03/2024,12.3,3
1.66,500,1,0,18/03/2024,12.3,3
1.66,501,1,0,18/03/2024,12.3,3
1.66,502,1,0,18/03/2024,12.3,3
1.66,503,1,0,18/03/2024,12.3,3
1.66,504,1,0,18/03/2024,12.3,3
1.66,505,1,0,18/03/2024,12.3,3
1.66,506,1,0,18/03/2024,12.3,3
1.66,507,1,0,18/03/2024,12.3,3
1.66,508,1,0,18/03/2024,12.3,3
1.66,509,1,0,18/03/2024,12.3,3
1.66,510,1,0,18/03/2024,12.3,3
1.66,511,1,0,18/03/2024,12.3,3
1.66,512,1,0,18/03/2024,12.3,3
1.66,513,1,0,18/03/2024,12.3,3
1.66,514,1,0,18/03/2024,12.3,3
1.66,515,1,0,18/03/2024,12.3,3
1.66,516,1,0,18/03/2024,12.3,3
1.66,517,1,0,18/03/2024,12.3,3
1.66,518,1,0,18/03/2024,12.3,3
1.66,519,1,0,18/03/2024,12.3,3
1.66,520,1,0,18/03/2024,12.3,3
1.66,521,2,1,18/03/2024,12.3,3
1.66,522,2,1,18/03/2024,12.3,3
1.66,523,2,1,18/03/2024,12.3,3
1.66,524,2,1,18/03/2024,12.3,3
1.66,525,2,1,18/03/2024,12.3,3
1.66,526,2,1,18/03/2024,12.3,3
1.66,527,2,1,18/03/2024,12.3,3
1.66,528,2,1,18/03/2024,12.3,3
1.66,529,2,1,18/03/2024,12.3,3
1.66,530,2,1,18/03/2024,12.3,3
1.66,531,2,1,18/03/2024,12.3,3
1.66,532,2,1,18/03/2024,12.3,3
1.66,533,2,1,18/03/2024,12.3,3
1.66,534,2,1,18/03/2024,12.3,3
1.66,535,2,1,18/03/2024,12.3,3
1.66,536,2,1,18/03/2024,12.3,3
1.66,537,2,0,18/03/2024,12.3,3
1.66,538,2,0,18/03/2024,12.3,3
